GSTIN of Jobworker,PARTY NAME ,State,Our Main Challan No.,Our Main Challan Date,Description of Goods Sent,UOM, Quantity Sent , Taxable Value , Tax Rate , Total ,,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,115,05.05.2023,Plate 12 mm SS 316L,EA, 16.00 ," 6,320.00 ", -   ," 6,320.00 ",,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,115,05.05.2023,"PIPE ERW 8"" OD 14 Swg SS 316L x 200 mm",EA, 1.00 , 272.00 , -   , 272.00 ,,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,115,05.05.2023,ROD Circular 8mm DiaSS 316L x 1500 mm,EA, 1.00 , 558.00 , -   , 558.00 ,,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,115,05.05.2023,"2""x 1"" reducer",EA, 2.00 , 440.00 , -   , 440.00 ,,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,115,05.05.2023,"HMI, MODEL:NB7Q,OMRON",EA, 1.00 ," 14,700.00 ", -   ," 14,700.00 ",,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,115,05.05.2023,"PLC, MODEL:CP1E, DI:12, DO:08 ,OMRON",EA, 1.00 ," 8,610.00 ", -   ," 8,610.00 ",,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,115,05.05.2023,MCB 6 Amp 2 Poles NBKRA102PC06A Schn,EA, 1.00 , 460.80 , -   , 461.00 ,,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,115,05.05.2023,"Current Simulator -0/4-20mA, USS20M24V-D",EA, 2.00 ," 12,000.00 ", -   ," 12,000.00 ",,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,115,05.05.2023,"1"" tc clamp",EA, 13.00 ," 2,210.00 ", -   ," 2,210.00 ",,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,115,05.05.2023,"1"" TC Gasket",EA, 13.00 , 182.00 , -   , 182.00 ,,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,115,05.05.2023,"hose Clamp 3""",EA, 6.00 , 259.20 , -   , 259.00 ,,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,115,05.05.2023,"1"" TC blind",EA, 1.00 , 124.00 , -   , 124.00 ,,
36AADCM3491M2Z1,"Mylan Laboratories Limited,",TELANGANA,115,05.05.2023,"1"" Neddle  ball valve",EA, 1.00 ," 1,836.00 ", -   ," 1,836.00 ",,
36AADCM3491M2Z1,Mylan Laboratories Limited,TELANGANA,122,06.05.2023,SS 304 Plate 375 X 350mm 12mm ,EA, 2.00 ," 8,000.00 "," 1,440.00 "," 9,440.00 ",,
37AAACI5950L1Z9,ITC LIMITED- C/o Spices G3 Plant,Andhra pradesh,128,09.05.2023,"Serrated Nozzle 2"" Triclover End S6L",EA, 1.00 , 340.00 , 61.20 , 401.20 ,,
37AAACI5950L1Z9,ITC LIMITED- C/o Spices G3 Plant,Andhra pradesh,128,09.05.2023,"Triclover Clamp 13MHM 2"" OD 3A S04",EA, 1.00 , 208.00 , 37.44 , 245.44 ,,
37AAACI5950L1Z9,ITC LIMITED- C/o Spices G3 Plant,Andhra pradesh,128,09.05.2023,"Triclover PTFE Gasket 2"" OD 3A",EA, 1.00 , 56.00 , 10.08 , 66.08 ,,
37AAACI5950L1Z9,ITC LIMITED- C/o Spices G3 Plant,Andhra pradesh,128,09.05.2023,"Hose Clip  2 1/2"" - SS 304",EA, 4.00 , 140.00 , 25.20 , 165.20 ,,
37AAACI5950L1Z9,ITC LIMITED- C/o Spices G3 Plant,Andhra pradesh,128,09.05.2023,Connector Elbow QSL-1/4-8 Festo 153049,EA, 8.00 , 816.00 , 146.88 , 962.88 ,,
37AAACI5950L1Z9,ITC LIMITED- C/o Spices G3 Plant,Andhra pradesh,128,09.05.2023,"Hose Clamp 4""(100mm) SS 304",EA, 18.00 , 936.00 , 168.48 ," 1,104.48 ",,
37AAACI5950L1Z9,ITC LIMITED- C/o Spices G3 Plant,Andhra pradesh,128,09.05.2023,Bolt Hexagonal Head M12 40mm SS 304,EA, 18.00 , 468.00 , 84.24 , 552.24 ,,
37AAACI5950L1Z9,ITC LIMITED- C/o Spices G3 Plant,Andhra pradesh,128,09.05.2023,Nut Hexagonal Head M12 - SS 304,EA, 18.00 , 252.00 , 45.36 , 297.36 ,,
37AAACI5950L1Z9,ITC LIMITED- C/o Spices G3 Plant,Andhra pradesh,128,09.05.2023,"Serrated Nozzle 3"" Triclover End S6L",EA, 2.00 , 930.00 , 167.40 ," 1,097.40 ",,
37AAACI5950L1Z9,ITC LIMITED- C/o Spices G3 Plant,Andhra pradesh,128,09.05.2023,"Valve Ball TC Ends 1"" WH SS 304 Seeco",EA, 1.00 ," 2,365.00 ", 425.70 ," 2,790.70 ",,
37AAACI5950L1Z9,ITC LIMITED- C/o Spices G3 Plant,Andhra pradesh,128,09.05.2023,Proxy Sensor NonFLP 12mm Dia IE5379 IFM,EA, 1.00 ," 1,900.00 ", 342.00 ," 2,242.00 ",,
37AAACI5950L1Z9,ITC LIMITED- C/o Spices G3 Plant,Andhra pradesh,128,09.05.2023,"3"" Hose pipe",MTRS, 15.00 ," 4,650.00 ", 837.00 ," 5,487.00 ",,
37AAACI5950L1Z9,ITC LIMITED- C/o Spices G3 Plant,Andhra pradesh,128,09.05.2023,weighing indication cable 8 core,MTRS, 4.00 , 860.00 , 154.80 ," 1,014.80 ",,
37AAACI5950L1Z9,ITC LIMITED- C/o Spices G3 Plant,Andhra pradesh,128,09.05.2023,MCB 6A,EA, 4.00 ," 1,420.00 ", 255.60 ," 1,675.60 ",,
37AAACI5950L1Z9,ITC LIMITED- C/o Spices G3 Plant,Andhra pradesh,128,09.05.2023,"2"" flexible hose pipe",MTRS, 5.00 ," 1,100.00 ", 198.00 ," 1,298.00 ",,
37AAACI5950L1Z9,ITC LIMITED- C/o Spices G3 Plant,Andhra pradesh,128,09.05.2023,Industrial  PLUG & Socket ,SET, 5.00 ," 4,775.00 ", 859.50 ," 5,634.50 ",,
37AAACI5950L1Z9,ITC LIMITED- C/o Spices G3 Plant,Andhra pradesh,128,09.05.2023,"2"" TC BEND",EA, 1.00 , 245.00 , 44.10 , 289.10 ,,
36AAACD6745J3ZF,Divi's Laboratories Ltd. DC SEZ UNI,Andhra pradesh,129,09.05.2023,O-RING 16 OD 13 ID 1.5 MM DIA SIL,EA, 20.00 , 200.00 , -   , 200.00 ,,
36AAACD6745J3ZF,Divi's Laboratories Ltd. DC SEZ UNI,Andhra pradesh,129,09.05.2023,Isolator Gullwing glass door lock,EA, 2.00 ," 3,800.00 ", -   ," 3,800.00 ",,
36AAACD6745J3ZF,Divi's Laboratories Ltd. DC SEZ UNI,Andhra pradesh,129,09.05.2023,Glass Hinge Bolting Pin - Part P SS 316L,EA, 10.00 ," 1,000.00 ", -   ," 1,000.00 ",,
36AAACD6745J3ZF,Divi's Laboratories Ltd. DC SEZ UNI,Andhra pradesh,129,09.05.2023,Washer Plain M 8 - SS 304,EA, 20.00 , 60.00 , -   , 60.00 ,,
36AAACD6745J3ZF,Divi's Laboratories Ltd. DC SEZ UNI,Andhra pradesh,129,09.05.2023,"CUTTING WHEEL 4""",EA, 10.00 , 550.00 , -   , 550.00 ,,
36AAACD6745J3ZF,Divi's Laboratories Ltd. DC SEZ UNI,Andhra pradesh,129,09.05.2023,"5"" FLAP WHEEL",EA, 3.00 , 375.00 , -   , 375.00 ,,
36AAACD6745J3ZF,Divi's Laboratories Ltd. DC SEZ UNI,Andhra pradesh,129,09.05.2023,"GRINDING WHEEL 4""",EA, 1.00 , 65.00 , -   , 65.00 ,,
36AAACD7999Q1ZL,Dr Reddy's Laboratories Ltd.(Unit V (CTO Unit 5),Andhra pradesh,132,09.05.2023,Spray ball with fitting assembly,EA , 4.00 ," 16,000.00 "," 2,880.00 "," 18,880.00 ",,
36AAACD7999Q1ZL,Dr Reddy's Laboratories Ltd.(Unit V (CTO Unit 5),Andhra pradesh,132,09.05.2023,Festun Cable,MTRS, 10.00 ," 3,600.00 ", 648.00 ," 4,248.00 ",,
36AAACD7999Q1ZL,Dr Reddy's Laboratories Ltd.(Unit V (CTO Unit 5),Andhra pradesh,132,09.05.2023,Monorail junction box control,EA , 2.00 ," 7,500.00 "," 1,350.00 "," 8,850.00 ",,
36AAACD7999Q1ZL,Dr Reddy's Laboratories Ltd.(Unit V (CTO Unit 5),Andhra pradesh,132,09.05.2023,Monorail operating remote,EA , 2.00 ," 7,500.00 "," 1,350.00 "," 8,850.00 ",,
36AAACD7999Q1ZL,Dr Reddy's Laboratories Ltd.(Unit V (CTO Unit 5),Andhra pradesh,132,09.05.2023,Limit switch for monorail,EA , 2.00 ," 5,000.00 ", 900.00 ," 5,900.00 ",,
36AAACD7999Q1ZL,Dr Reddy's Laboratories Ltd.(Unit V (CTO Unit 5),Andhra pradesh,132,09.05.2023,Delumper soft mounting bolt,EA , 2.00 , 500.00 , 90.00 , 590.00 ,,
36AAACD7999Q1ZL,Dr Reddy's Laboratories Ltd.(Unit V (CTO Unit 5),Andhra pradesh,132,09.05.2023,3/8 BSP blind for delumper,EA , 2.00 , 400.00 , 72.00 , 472.00 ,,
36AAACD7999Q1ZL,Dr Reddy's Laboratories Ltd.(Unit V (CTO Unit 5),Andhra pradesh,132,09.05.2023,All name plate,EA , 4.00 , 800.00 , 144.00 , 944.00 ,,
36AAACD7999Q1ZL,Dr Reddy's Laboratories Ltd.(Unit V (CTO Unit 5),Andhra pradesh,132,09.05.2023,Coil 230 volt FLP with Base,EA , 2.00 ," 10,000.00 "," 1,800.00 "," 11,800.00 ",,
36AAACD7999Q1ZL,Dr Reddy's Laboratories Ltd.(Unit V (CTO Unit 5),Andhra pradesh,132,09.05.2023,"3"" X 2"" reducer TC and connection",EA , 1.00 ," 1,500.00 ", 270.00 ," 1,770.00 ",,
36AAACD7999Q1ZL,Dr Reddy's Laboratories Ltd.(Unit V (CTO Unit 5),Andhra pradesh,132,09.05.2023,"2"" Tc serrated nozzle with clamp Gasket",SET, 1.00 ," 1,200.00 ", 216.00 ," 1,416.00 ",,
36AAACD7999Q1ZL,Dr Reddy's Laboratories Ltd.(Unit V (CTO Unit 5),Andhra pradesh,132,09.05.2023,PU 8 tube ,MTRS, 100.00 ," 5,000.00 ", 900.00 ," 5,900.00 ",,
36AAACD7999Q1ZL,Dr Reddy's Laboratories Ltd.(Unit V (CTO Unit 5),Andhra pradesh,132,09.05.2023,FLP & Starter Panel covers,EA , 2.00 ," 4,500.00 ", 810.00 ," 5,310.00 ",,
36AAACD7999Q1ZL,Dr Reddy's Laboratories Ltd.(Unit V (CTO Unit 5),Andhra pradesh,132,09.05.2023,Valve Ball 50NB SS316L,EA , 2.00 ," 9,000.00 "," 1,620.00 "," 10,620.00 ",,
33AABCO2190F1ZT,PFIZER HEALTHCARE INDIA PVT LTD,TAMIL NADU,133,09.05.2023,Isolator Gullwing glass door lock,EA , 4.00 ," 12,740.00 "," 2,293.00 "," 15,033.00 ",,
27AABCH3223J1ZS,Harman Finochem Limited (API SHENDR ),MAHARASTRA,138,10.05.2023,WEIGHING BALANCE 300 KG WITH PLATEFORM & F MHS LIQUID DERM CONTAINMENT SYSTEM,EA , 1.00 ," 50,000.00 ", -   ," 50,000.00 ",,
24AAAAK8694F2ZF,KAIRA DISTRICT CO OPERATIVE MILK,GUJARAT,139,10.05.2023,CONT.COOKER POWDER HOPPER LOAD CELL,EA , 4.00 , -   , -   , -   ,,
36AAACD7999Q1ZL,Dr Reddy's Laboratories Ltd.(Unit V (CTO Unit 5),Andra Pradesh ,141,10.05.2023,V TOP FILE,EA , 1.00 , -   , -   , -   ,,
37AAACB9723G1ZO,BHAGIRADHA CHEMICALS & INDUSTRIES LIMITED-L,Andra Pradesh ,142,10.05.2023,V TOP FILE,EA , 1.00 , -   , -   , -   ,,
27AABCB7908G1ZP,BECTOCHEM CONSULTANTS AND ENGINEERS PVT LTD,MAHARASHTRA,143,09.05.2023,METFORMIN HYDROCHLORIDE,KGS, 317.00 ," 41,158.00 "," 7,408.00 "," 48,566.00 ",,
24AAACA3927D3Z6,AMAR TEA PVT LTD,GUJARAT,154,12.05.2023,"Valve Ball TC Ends 2"" WO SS 316L Seeco",EA, 1.00 ," 6,750.00 "," 1,215.00 "," 7,965.00 ",,
24AAACA3927D3Z6,AMAR TEA PVT LTD,GUJARAT,154,12.05.2023,Actuator Double Acting ECF-63 ROTEX,EA, 1.00 ," 4,950.00 ", 891.00 ," 5,841.00 ",,
24AAACA3927D3Z6,AMAR TEA PVT LTD,GUJARAT,154,12.05.2023,Solenoid Valve MFH-5-1/4 Part No. 6211 F,EA, 1.00 ," 2,240.00 ", 403.00 ," 2,643.00 ",,
24AAACA3927D3Z6,AMAR TEA PVT LTD,GUJARAT,154,12.05.2023,Coil Sol. 24V DC MSFG24/4250/60-4527 F,EA, 1.00 , 498.00 , 90.00 , 588.00 ,,
24AAACA3927D3Z6,AMAR TEA PVT LTD,GUJARAT,154,12.05.2023,"Hose Pipe Flexi 1"" ID Pln Nyl Braid SI",EA, 3.00 ," 3,210.00 ", 578.00 ," 3,788.00 ",,
24AAACA3927D3Z6,AMAR TEA PVT LTD,GUJARAT,154,12.05.2023,"SERRATED NOZZLE 1"" TRICLOVER END S6L",EA, 6.00 ," 1,320.00 ", 238.00 ," 1,558.00 ",,
24AAACA3927D3Z6,AMAR TEA PVT LTD,GUJARAT,154,12.05.2023,"Triclover Blind 1"" OD 3A S6L",EA, 6.00 , 744.00 , 134.00 , 878.00 ,,
24AAACA3927D3Z6,AMAR TEA PVT LTD,GUJARAT,154,12.05.2023,"Triclover Clamp 1"" OD 3A S04",EA, 6.00 ," 1,056.00 ", 190.00 ," 1,246.00 ",,
24AAACA3927D3Z6,AMAR TEA PVT LTD,GUJARAT,154,12.05.2023,"Triclover Silicone Gasket 1"" OD 3A",EA, 6.00 , 84.00 , 15.00 , 99.00 ,,
24AAACA3927D3Z6,AMAR TEA PVT LTD,GUJARAT,154,12.05.2023,"Hose Clamp 1""(25mm) SS 304",EA, 6.00 , 150.00 , 27.00 , 177.00 ,,
24AAACA3927D3Z6,AMAR TEA PVT LTD,GUJARAT,154,12.05.2023,"Valve Pulse Jet 1"" 24VDC NFLP 9150B AV",EA, 2.00 ," 4,188.00 ", 754.00 ," 4,942.00 ",,
24AAACA3927D3Z6,AMAR TEA PVT LTD,GUJARAT,154,12.05.2023,SMPS 2.5A Input 230VAC O/P24VDC SHAVISON,EA, 1.00 ," 1,230.00 ", 221.00 ," 1,451.00 ",,
,THE LUDHIANA DISTRICT CO OPERATIVE MILK PRODUCER UNION LTD,PUNJAB,155,12.05.2023,SMP BAG (25 KGS),EA, 1.00 ," 15,000.00 "," 2,700.00 "," 17,700.00 ",,
24AAAAB0575E1ZB,BANASKANTHA DISTRICT,GUJARAT,156,13.05.2023,Filter 1M 355OD e-PTFE PTS300 000044,EA, 2.00 ," 5,990.00 "," 1,078.00 "," 7,068.00 ",,
24AAAAB0575E1ZB,BANASKANTHA DISTRICT,GUJARAT,156,13.05.2023,Cartridge Filter - 1Micron 65 Dia 250 Lg,EA, 3.00 ," 5,134.00 ", 924.00 ," 6,058.00 ",,
09AAACW0631J1ZE,Win-Medicare Pvt. Ltd.,Uttar Pradesh ,157,13.05.2023,ValveBFY VAC SWEnd 300NB Act S6L PTFE MP,EA, 2.00 ," 1,66,312.00 "," 29,936.16 "," 1,96,248.00 ",,
09AAACW0631J1ZE,Win-Medicare Pvt. Ltd.,Uttar Pradesh ,157,13.05.2023,Bolt Hex Head Full Thr M20 150mm SS 304,EA, 30.00 ," 6,000.00 "," 1,080.00 "," 7,080.00 ",,
09AAACW0631J1ZE,Win-Medicare Pvt. Ltd.,Uttar Pradesh ,157,13.05.2023,Nut Hexagonal Head M20 - SS 304,EA, 30.00 , 990.00 , 178.20 ," 1,168.00 ",,
09AAACW0631J1ZE,Win-Medicare Pvt. Ltd.,Uttar Pradesh ,157,13.05.2023,Washer Plain M 20 - SS 304,EA, 30.00 , 360.00 , 64.80 , 425.00 ,,
09AAACW0631J1ZE,Win-Medicare Pvt. Ltd.,Uttar Pradesh ,157,13.05.2023,Bolt DOM M8 35mm SS 304,EA, 30.00 , 570.00 , 102.60 , 673.00 ,,
09AAACW0631J1ZE,Win-Medicare Pvt. Ltd.,Uttar Pradesh ,157,13.05.2023,Nut Hexagonal Head M8 - SS 304,EA, 30.00 , 120.00 , 21.60 , 142.00 ,,
09AAACW0631J1ZE,Win-Medicare Pvt. Ltd.,Uttar Pradesh ,157,13.05.2023,Washer Plain M 8 - SS 304,EA, 30.00 , 60.00 , 10.80 , 71.00 ,,
09AAACW0631J1ZE,Win-Medicare Pvt. Ltd.,Uttar Pradesh ,157,13.05.2023,"Serrated Nozzle 2"" Triclover End S6L",EA, 10.00 ," 3,410.00 ", 613.80 ," 4,024.00 ",,
09AAACW0631J1ZE,Win-Medicare Pvt. Ltd.,Uttar Pradesh ,157,13.05.2023,"Triclover Clamp 13MHM 2"" OD 3A S04",EA, 12.00 ," 2,508.00 ", 451.44 ," 2,959.00 ",,
09AAACW0631J1ZE,Win-Medicare Pvt. Ltd.,Uttar Pradesh ,157,13.05.2023,"Triclover Silicone Gasket 2"" OD 3A",EA, 12.00 , 240.00 , 43.20 , 283.00 ,,
09AAACW0631J1ZE,Win-Medicare Pvt. Ltd.,Uttar Pradesh ,157,13.05.2023,"Level Switch Vibr.Fork FLPTC2""150L S6L",EA, 1.00 ," 9,500.00 "," 1,710.00 "," 11,210.00 ",,
09AAACW0631J1ZE,Win-Medicare Pvt. Ltd.,Uttar Pradesh ,157,13.05.2023,Bolt Hex Head Full Thred M12 50lg S04,EA, 50.00 ," 1,400.00 ", 252.00 ," 1,652.00 ",,
09AAACW0631J1ZE,Win-Medicare Pvt. Ltd.,Uttar Pradesh ,157,13.05.2023,Nut Hexagonal Head M12 - SS 304,EA, 50.00 , 600.00 , 108.00 , 708.00 ,,
09AAACW0631J1ZE,Win-Medicare Pvt. Ltd.,Uttar Pradesh ,157,13.05.2023,Poly Tube BL PUN08x6-0 Airmax,MTRS, 50.00 ," 1,400.00 ", 252.00 ," 1,652.00 ",,
09AAACW0631J1ZE,Win-Medicare Pvt. Ltd.,Uttar Pradesh ,157,13.05.2023,Bolt Hexagonal Head M6 15mm SS 304,EA, 10.00 , 70.00 , 12.60 , 83.00 ,,
09AAACW0631J1ZE,Win-Medicare Pvt. Ltd.,Uttar Pradesh ,157,13.05.2023,Nut Hexagonal Head- M6 - SS 304,EA, 10.00 , 30.00 , 5.40 , 35.00 ,,
09AAACW0631J1ZE,Win-Medicare Pvt. Ltd.,Uttar Pradesh ,157,13.05.2023,Bolt Hexagonal Head M8 15mm SS 304,EA, 20.00 , 180.00 , 32.40 , 212.00 ,,
09AAACW0631J1ZE,Win-Medicare Pvt. Ltd.,Uttar Pradesh ,157,13.05.2023,Nut Hexagonal Head M8 - SS 304,EA, 20.00 , 80.00 , 14.40 , 94.00 ,,
09AAACW0631J1ZE,Win-Medicare Pvt. Ltd.,Uttar Pradesh ,157,13.05.2023,"Hose Pipe Thunder 2 1/2""BSP  S04 WB PVC",MTRS, 40.00 ," 10,400.00 "," 1,872.00 "," 12,272.00 ",,
24AALCA2848Q1Z4,AETHER INDUSTRIES LIMITED,GUJARAT,176,19.05.2023, PNEU.PANEL ST + ISV INCS3165608 S04 FE,EA, 2.00 ," 1,54,590.00 "," 27,826.00 "," 1,82,416.00 ",,
37AAACD6745J2ZE,Divis Laboratories Ltd SEZ UNIT,ANDRA PRADESH,183,19.05.2023,DOCUMENT FILE,EA, 1.00 , -   , -   , -   ,,
27AABCH3223J1ZS,Harman Finochem Limited (API SHENDR ),Maharastra,189,22.05.2023,"Level Switch Vibr.Fork FLPTC2""150L S6L",EA, 1.00 ," 9,500.00 "," 1,710.00 "," 11,210.00 ",,
29AAACF2940F1ZU,FESTO INDIA PVT LTD,KARNATAKA,196,23.05.2023,Limit Switch Pne. RW-3-M5 P-4031 F,EA, 26.00 ," 1,24,818.00 "," 22,467.00 "," 1,47,285.00 ",,
27AABCH4986L1Z0,HANUMAN POWER TRANSMISSION EQUIPMENTS PVT LTD,MAHARASTRA,202,24.05.2023,Motor 10HPP4 Frame 132M FLP IE3 Crom.,EA, 5.00 ," 2,43,475.00 "," 43,826.00 "," 2,87,301.00 ",,
37AABCL1170C1Z0,Laurus Labs Limited-Unit 4,Visakapatnam,212,31.05.2023,Stud M12 220Lg EN-08 With Harding,EA, 8.00 ," 2,280.00 ", -   ," 2,280.00 ",,
37AABCL1170C1Z0,Laurus Labs Limited-Unit 4,Visakapatnam,212,31.05.2023,Nut Lock Nut- M12 - SS 304,EA, 8.00 , 96.00 , -   , 96.00 ,,
37AABCL1170C1Z0,Laurus Labs Limited-Unit 4,Visakapatnam,212,31.05.2023,Gasket Circular 38X12X15 SH-60+/-5 RUB,EA, 16.00 ," 3,200.00 ", -   ," 3,200.00 ",,
37AABCL1170C1Z0,Laurus Labs Limited-Unit 4,Visakapatnam,212,31.05.2023,Clamp ToggleHTC600FM SS 304 Steel Smith,EA, 2.00 ," 3,640.00 ", -   ," 3,640.00 ",,
24AALCA2848Q1Z4,AETHER INDUSTRIES LIMITED,GUJARAT,217,29.05.2023,BFM Spigot Dia 300mm SS 316L,EA, 1.00 ," 28,195.00 "," 5,075.00 "," 33,270.00 ",,
36AADCM3491M2Z1,Mylan Laboratories Limited,ANDRA PRADESH,220,30.05.2023,Hand lever valve ,EA, 1.00 ," 6,000.00 ", -   ," 6,000.00 ",,
36AADCM3491M2Z1,Mylan Laboratories Limited,ANDRA PRADESH,220,30.05.2023,Vacuum pump filter with bend,EA, 1.00 ," 8,500.00 ", -   ," 8,500.00 ",,
36AADCM3491M2Z1,Mylan Laboratories Limited,ANDRA PRADESH,220,30.05.2023,8’’ FGSR gasket ,EA, 4.00 ," 1,600.00 ", -   ," 1,600.00 ",,
36AADCM3491M2Z1,Mylan Laboratories Limited,ANDRA PRADESH,220,30.05.2023, Vacuum pump exhaust bend ,EA, 4.00 , 800.00 , -   , 800.00 ,,
36AADCM3491M2Z1,Mylan Laboratories Limited,ANDRA PRADESH,220,30.05.2023,Pneumatic panel Key,EA, 2.00 , 300.00 , -   , 300.00 ,,
27AAICB7161N1Z6,DECBECTOCHEM ENGINEERING PVT LTD,GUJARAT,222,30.05.2023,AIR SAMPLING PUMP WITH KEY 1 NO,EA, 8.00 ," 36,000.00 "," 6,480.00 "," 42,480.00 ",,
23AACCF4380P1ZD,Fidelity Agro Pvt Ltd.,Madhya Pradesh,224,01.06.2023,Valve AIR OPERATED SYA7220 - 02F SMC,EA, 1.00 ," 1,910.00 ", 344.00 ," 2,254.00 ",,
23AACCF4380P1ZD,Fidelity Agro Pvt Ltd.,Madhya Pradesh,224,01.06.2023,"Valve Ball TC Ends 1"" WH SS 304 Seeco",EA, 1.00 ," 1,704.00 ", 307.00 ," 2,011.00 ",,
23AACCF4380P1ZD,Fidelity Agro Pvt Ltd.,Madhya Pradesh,224,01.06.2023,"Reducer C ERW 2""x 1"" OD Sch 40 S04",EA, 5.00 , 840.00 , 151.00 , 991.00 ,,
23AACCF4380P1ZD,Fidelity Agro Pvt Ltd.,Madhya Pradesh,224,01.06.2023,"Hose Pipe Thunder 1-1/2"" ID Threaded -",MTRS, 8.00 ," 2,080.00 ", 374.00 ," 2,454.00 ",,
23AACCF4380P1ZD,Fidelity Agro Pvt Ltd.,Madhya Pradesh,224,01.06.2023,Poly Tube Blue PUN-8X2.5-BL P-159666 F,MTRS, 200.00 ," 8,800.00 "," 1,584.00 "," 10,384.00 ",,
23AACCF4380P1ZD,Fidelity Agro Pvt Ltd.,Madhya Pradesh,224,01.06.2023,"Triclover Clamp 13MHM 1 1/2"" OD 3A S04",EA, 10.00 ," 1,700.00 ", 306.00 ," 2,006.00 ",,
23AACCF4380P1ZD,Fidelity Agro Pvt Ltd.,Madhya Pradesh,224,01.06.2023,Connector Elbow QSL-1/4-8 Festo 153049,EA, 40.00 ," 4,080.00 ", 734.00 ," 4,814.00 ",,
23AACCF4380P1ZD,Fidelity Agro Pvt Ltd.,Madhya Pradesh,224,01.06.2023,Push Button Emergency XB5AS542N - Schn.,EA, 4.00 , 404.00 , 73.00 , 477.00 ,,
23AACCF4380P1ZD,Fidelity Agro Pvt Ltd.,Madhya Pradesh,224,01.06.2023,Selector Switch 2Pos.XB5AD21N Schn.,EA, 1.00 , 249.00 , 45.00 , 294.00 ,,
23AACCF4380P1ZD,Fidelity Agro Pvt Ltd.,Madhya Pradesh,224,01.06.2023,"Hose Clamp 4""(100mm) SS 304",EA, 12.00 , 624.00 , 112.00 , 736.00 ,,
23AACCF4380P1ZD,Fidelity Agro Pvt Ltd.,Madhya Pradesh,224,01.06.2023,Connector Tee QST--8 Festo 153130,EA, 10.00 ," 1,530.00 ", 275.00 ," 1,805.00 ",,
23AACCF4380P1ZD,Fidelity Agro Pvt Ltd.,Madhya Pradesh,224,01.06.2023,Connector Tee QST--6 Festo 153129,EA, 4.00 , 528.00 , 95.00 , 623.00 ,,
23AACCF4380P1ZD,Fidelity Agro Pvt Ltd.,Madhya Pradesh,224,01.06.2023,"Triclover Silicone Gasket 1"" OD 3A",EA, 1.00 , 14.00 , 3.00 , 17.00 ,,
23AACCF4380P1ZD,Fidelity Agro Pvt Ltd.,Madhya Pradesh,224,01.06.2023,"Triclover Ferrule 1"" OD 3A S6L",EA, 5.00 , 525.00 , 95.00 , 620.00 ,,
23AACCF4380P1ZD,Fidelity Agro Pvt Ltd.,Madhya Pradesh,224,01.06.2023,"Triclover Ferrule 2"" OD 3A S6L",EA, 5.00 , 630.00 , 113.00 , 743.00 ,,
23AACCF4380P1ZD,Fidelity Agro Pvt Ltd.,Madhya Pradesh,224,01.06.2023,"Triclover Gasket 3/4"" OD PTFE",EA, 10.00 , 220.00 , 40.00 , 260.00 ,,
23AACCF4380P1ZD,Fidelity Agro Pvt Ltd.,Madhya Pradesh,224,01.06.2023,"Triclover Clamp 13MHM 3/4"" OD 3A S04",EA, 12.00 ," 2,196.00 ", 395.00 ," 2,591.00 ",,
23AACCF4380P1ZD,Fidelity Agro Pvt Ltd.,Madhya Pradesh,224,01.06.2023,"Triclover Ferrule 3/4"" OD 3A S6L",EA, 12.00 ," 1,140.00 ", 205.00 ," 1,345.00 ",,
23AACCF4380P1ZD,Fidelity Agro Pvt Ltd.,Madhya Pradesh,224,01.06.2023,Connector Tee QST--8 Festo 153130,EA, 10.00 ," 1,530.00 ", 275.00 ," 1,805.00 ",,
23AACCF4380P1ZD,Fidelity Agro Pvt Ltd.,Madhya Pradesh,224,01.06.2023,Connector Elbow QSL-1/4-8 Festo 153049,EA, 2.00 , 204.00 , 37.00 , 241.00 ,,
23AACCF4380P1ZD,Fidelity Agro Pvt Ltd.,Madhya Pradesh,224,01.06.2023,Push Button Emergency XB5AS542N - Schn.,EA, 4.00 , 404.00 , 73.00 , 477.00 ,,
23AACCF4380P1ZD,Fidelity Agro Pvt Ltd.,Madhya Pradesh,224,01.06.2023,"Triclover Clamp 13MHM 2"" OD 3A S04",EA, 5.00 ," 1,040.00 ", 187.00 ," 1,227.00 ",,
23AACCF4380P1ZD,Fidelity Agro Pvt Ltd.,Madhya Pradesh,224,01.06.2023,"Triclover Gasket  2"" OD ",EA, 5.00 , 100.00 , 18.00 , 118.00 ,,
23AACCF4380P1ZD,Fidelity Agro Pvt Ltd.,Madhya Pradesh,224,01.06.2023,Fluidization Cone FILTER COVER & SUPPORT,EA, 1.00 ," 2,990.00 ", 538.00 ," 3,528.00 ",,
